epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4913,2.24016,4.67903,2.22052,0.42148,0.07067,0.0497,0.01453,2.24269,4.153,2.37417,0.00332147,0.00332147,0.00332147
2,129.051,2.1336,3.73601,2.15234,0.44362,0.08192,0.06013,0.01494,2.47985,5.02565,2.56776,0.00661088,0.00661088,0.00661088
3,191.413,2.19951,3.35036,2.21757,0.03692,0.03854,0.00674,0.00158,3.2606,15.3711,3.4878,0.00985629,0.00985629,0.00985629
4,252.825,2.27953,3.34365,2.34591,0.03667,0.16075,0.01229,0.00391,2.70031,8.74446,2.87442,0.009802,0.009802,0.009802
5,313.627,2.16852,3.20652,2.31131,0.10019,0.08572,0.02869,0.00857,2.5837,4.34836,2.81834,0.009736,0.009736,0.009736
6,374.08,2.13123,3.0783,2.25409,0.18955,0.13218,0.07957,0.02354,2.51406,3.82183,2.76457,0.00967,0.00967,0.00967
7,434.094,2.09858,2.94747,2.18819,0.26514,0.19597,0.138,0.04384,2.39371,3.8603,2.50818,0.009604,0.009604,0.009604
8,494.078,2.0697,2.90914,2.17667,0.22858,0.22803,0.14466,0.0523,2.41799,3.47668,2.42306,0.009538,0.009538,0.009538
9,553.985,2.03681,2.82434,2.13518,0.27446,0.1708,0.13367,0.04065,2.3934,3.58332,2.51957,0.009472,0.009472,0.009472
10,613.762,2.01108,2.75072,2.12968,0.28178,0.16926,0.15268,0.04943,2.39821,3.4143,2.5179,0.009406,0.009406,0.009406
11,673.423,2.01273,2.70986,2.10584,0.23781,0.21656,0.14516,0.04912,2.33835,3.27102,2.46721,0.00934,0.00934,0.00934
12,733.006,1.96833,2.63283,2.0831,0.3814,0.22505,0.19281,0.07502,2.29509,3.29735,2.4137,0.009274,0.009274,0.009274
13,793.054,1.9641,2.58611,2.06976,0.32022,0.26309,0.19338,0.06918,2.35641,3.19825,2.38965,0.009208,0.009208,0.009208
14,853.158,1.93833,2.53667,2.03676,0.28019,0.25104,0.19412,0.06941,2.33777,3.78858,2.46965,0.009142,0.009142,0.009142
15,914.056,1.93823,2.49326,2.02677,0.40691,0.31963,0.27744,0.08231,2.34532,2.79236,2.41673,0.009076,0.009076,0.009076
16,974.637,1.91815,2.47012,2.01691,0.47876,0.26323,0.28793,0.09991,2.32613,3.10554,2.41435,0.00901,0.00901,0.00901
