epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2959,2.19237,4.58396,2.16592,0.15094,0.14051,0.07371,0.01713,2.4409,4.37368,2.4989,0.00332147,0.00332147,0.00332147
2,122.661,2.09253,3.60852,2.12012,0.10223,0.08611,0.03975,0.01275,2.76129,4.59199,2.75493,0.00662819,0.00662819,0.00662819
3,179.599,2.16427,3.25889,2.2051,0.40839,0.04948,0.02335,0.00672,2.70864,9.75342,2.86825,0.00990823,0.00990823,0.00990823
4,235.851,2.25359,3.26156,2.31024,0.23931,0.07756,0.04266,0.01377,2.6979,5.48919,2.88106,0.00988,0.00988,0.00988
5,292.481,2.17211,3.10215,2.25365,0.14826,0.14706,0.06423,0.01701,2.53218,4.32454,2.63596,0.00984,0.00984,0.00984
6,349.547,2.11966,2.95253,2.19799,0.14883,0.11523,0.0786,0.02257,2.52937,4.45355,2.67425,0.0098,0.0098,0.0098
7,406.549,2.06698,2.81999,2.14084,0.17823,0.19448,0.08581,0.02481,2.54991,4.89612,2.63017,0.00976,0.00976,0.00976
8,463.362,2.05694,2.76681,2.13159,0.32356,0.25391,0.21237,0.07455,2.33565,3.41644,2.43131,0.00972,0.00972,0.00972
9,520.303,2.02426,2.67703,2.0922,0.25816,0.22675,0.17276,0.05192,2.39274,3.65909,2.49544,0.00968,0.00968,0.00968
10,576.848,1.99163,2.60475,2.05832,0.28693,0.28123,0.20283,0.0632,2.46434,3.03237,2.52616,0.00964,0.00964,0.00964
11,633.443,1.99315,2.56241,2.04938,0.3727,0.22964,0.20393,0.06808,2.40023,3.97159,2.41561,0.0096,0.0096,0.0096
12,690.257,1.9405,2.47606,2.02344,0.37104,0.32305,0.28634,0.09572,2.35606,2.82753,2.37839,0.00956,0.00956,0.00956
13,747.007,1.94614,2.43458,2.01067,0.36603,0.34558,0.30179,0.10137,2.3431,2.80761,2.27665,0.00952,0.00952,0.00952
14,803.885,1.92237,2.38357,1.98457,0.34005,0.34033,0.28092,0.08719,2.40264,3.03393,2.40518,0.00948,0.00948,0.00948
15,860.933,1.92632,2.35293,1.9681,0.42864,0.37027,0.34529,0.11264,2.3406,2.65432,2.35095,0.00944,0.00944,0.00944
16,917.842,1.90072,2.32783,1.9763,0.37823,0.34249,0.29575,0.10145,2.35594,2.72585,2.32586,0.0094,0.0094,0.0094
17,974.3,1.89491,2.25515,1.95208,0.43272,0.38167,0.33613,0.11352,2.35908,2.64283,2.36963,0.00936,0.00936,0.00936
18,1031.03,1.89898,2.23603,1.94177,0.42835,0.32503,0.32454,0.11308,2.29895,3.07474,2.28763,0.00932,0.00932,0.00932
19,1087.55,1.87185,2.20245,1.92143,0.45766,0.33742,0.3441,0.12495,2.36537,2.92016,2.33894,0.00928,0.00928,0.00928
20,1144.43,1.85953,2.17649,1.92024,0.34811,0.40924,0.34792,0.1197,2.37458,2.66669,2.38759,0.00924,0.00924,0.00924
21,1201.16,1.86384,2.15911,1.91941,0.44071,0.42686,0.37724,0.12262,2.36223,2.52711,2.4043,0.0092,0.0092,0.0092
22,1257.73,1.83606,2.09835,1.89649,0.43584,0.3908,0.35931,0.11412,2.42996,2.63249,2.39978,0.00916,0.00916,0.00916
23,1314.33,1.84844,2.09201,1.8843,0.39354,0.3277,0.29496,0.0995,2.41143,3.16225,2.34513,0.00912,0.00912,0.00912
24,1371.1,1.83226,2.04014,1.87565,0.40515,0.41256,0.37521,0.12995,2.37505,2.62401,2.31682,0.00908,0.00908,0.00908
25,1427.87,1.82696,2.01754,1.86898,0.44822,0.41445,0.38804,0.13502,2.35361,2.49175,2.367,0.00904,0.00904,0.00904
26,1484.59,1.81741,2.01485,1.85639,0.47564,0.4746,0.45463,0.14847,2.38806,2.29175,2.30319,0.009,0.009,0.009
27,1541.36,1.79214,1.97013,1.83903,0.44137,0.38668,0.35442,0.11226,2.4017,2.75847,2.35827,0.00896,0.00896,0.00896
28,1598.05,1.79094,1.95751,1.84042,0.45378,0.45654,0.41523,0.14886,2.32918,2.52516,2.2685,0.00892,0.00892,0.00892
29,1654.5,1.79581,1.92461,1.8238,0.45277,0.45663,0.43618,0.15754,2.32073,2.40012,2.26956,0.00888,0.00888,0.00888
